"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R28,R32,R29,R33,R31";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"2k";;;
2;"R11,R14";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5k6";;;
3;"R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"3k3";;;
4;"C12,C18,C15,C16,C17";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";5;"330n";;;
5;"C14,C2,C9,C10,C11,C5,C3,C1,C8,C21,C19,C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";12;"100n";;;
6;"R15,R17,R16,R18";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"10k";;;
7;"J3";"PinSocket_1x12_P2.54mm_Vertical";1;"2.4" TFT with EC11";;;
8;"Q1";"SOT190P230X110-4N";1;"BF998";;;
9;"R27,R26,R25,R24,R23";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"1k";;;
10;"C4,C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10n";;;
11;"XTAL1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"25.000MHZ";;;
12;"C20";"C_Elec_6.3x7.7";1;"50mF";;;
13;"C13";"CP_Elec_4x3";1;"22uF";;;
14;"R10,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"680";;;
15;"R8,R6,R4,R1,R2,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"51";;;
16;"R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"27k";;;
17;"U3";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
18;"Q3";"SOT-23";1;"MMBT2222A";;;
19;"R30,R19,R20,R22";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"100k";;;
20;"R21";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"330k";;;
21;"T1";"Transformer_Toroid_Horizontal_D14.0mm_Amidon-T50";1;"Bifilar-10T";;;
22;"U2";"SOIC-8_5.3x5.3mm_P1.27mm";1;"LM358";;;
23;"Q2";"SOT-23";1;"AO3401A";;;
24;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
25;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"33";;;
26;"U1";"MSOP-10_3x3mm_P0.5mm";1;"Si5351A-B-GT";;;
27;"D1,D2";"D_SOD-123F";2;"1N4148WS";;;
28;"J1";"BNC_Amphenol_B6252HB-NPP3G-50_Horizontal";1;"ANT";;;
29;"J2";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"BATT-MODULE";;;
30;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"220";;;
